2018-03-17 00:07:32.1521225452 , 216 , f8:da:c:53:17:21 , 48:45:20:44:0:9d , IPv4 , 10.50.21.177 , 239.255.255.250 , UDP , 53862 , 1900 
2018-03-17 00:07:32.1521225452 , 216 , ac:d1:b8:c1:39:a7 , 48:45:20:44:0:9d , IPv4 , 10.50.21.219 , 239.255.255.250 , UDP , 51348 , 1900 
2018-03-17 00:07:32.1521225452 , 209 , 34:f6:4b:a1:e2:e4 , 48:45:20:44:0:9d , IPv4 , 10.50.22.61 , 239.255.255.250 , UDP , 53267 , 1900 
2018-03-17 00:07:32.1521225452 , 175 , a4:5d:36:71:62:29 , 48:45:20:44:0:9d , IPv4 , 10.50.23.45 , 239.255.255.250 , UDP , 55526 , 1900 
2018-03-17 00:07:32.1521225452 , 67 , 70:1c:e7:f3:53:6d , 48:45:20:44:0:9d , IPv4 , 10.50.21.71 , 224.0.0.252 , UDP , 58694 , 5355 
2018-03-17 00:07:32.1521225452 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:32.1521225452 , 216 , 6a:10:6c:0:8f:d9 , 48:45:20:44:0:9d , IPv4 , 10.50.20.176 , 239.255.255.250 , UDP , 59312 , 1900 
2018-03-17 00:07:32.1521225452 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:32.1521225452 , 216 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 239.255.255.250 , UDP , 50564 , 1900 
2018-03-17 00:07:32.1521225452 , 67 , 70:1c:e7:f3:53:6d , 48:45:20:44:0:9d , IPv4 , 10.50.21.71 , 224.0.0.252 , UDP , 58694 , 5355 
2018-03-17 00:07:33.1521225453 , 216 , ac:d1:b8:c1:39:a7 , 48:45:20:44:0:9d , IPv4 , 10.50.21.219 , 239.255.255.250 , UDP , 51348 , 1900 
2018-03-17 00:07:33.1521225453 , 209 , 34:f6:4b:a1:e2:e4 , 48:45:20:44:0:9d , IPv4 , 10.50.22.61 , 239.255.255.250 , UDP , 53267 , 1900 
2018-03-17 00:07:33.1521225453 , 316 , 30:8d:99:1a:e4:e6 , 48:45:20:44:0:9d , IPv4 , 10.50.21.28 , 239.255.255.250 , UDP , 64557 , 1900 
2018-03-17 00:07:33.1521225453 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:33.1521225453 , 216 , 6a:10:6c:0:8f:d9 , 48:45:20:44:0:9d , IPv4 , 10.50.20.176 , 239.255.255.250 , UDP , 59312 , 1900 
2018-03-17 00:07:33.1521225453 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:33.1521225453 , 216 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 239.255.255.250 , UDP , 50564 , 1900 
2018-03-17 00:07:33.1521225453 , 666 , b8:70:f4:36:94:c , 48:45:20:44:0:9d , IPv4 , 10.50.20.207 , 239.255.255.250 , UDP , 49876 , 3702 
2018-03-17 00:07:34.1521225454 , 216 , ac:d1:b8:c1:39:a7 , 48:45:20:44:0:9d , IPv4 , 10.50.21.219 , 239.255.255.250 , UDP , 51348 , 1900 
2018-03-17 00:07:34.1521225454 , 170 , ac:ed:5c:4b:81:2e , 48:45:20:44:0:9d , IPv4 , 10.50.23.116 , 10.50.23.255 , UDP , 63151 , 50007 
2018-03-17 00:07:34.1521225454 , 179 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 239.255.255.250 , UDP , 61824 , 1900 
2018-03-17 00:07:34.1521225454 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:34.1521225454 , 216 , 6a:10:6c:0:8f:d9 , 48:45:20:44:0:9d , IPv4 , 10.50.20.176 , 239.255.255.250 , UDP , 59312 , 1900 
2018-03-17 00:07:34.1521225454 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:34.1521225454 , 216 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 239.255.255.250 , UDP , 50564 , 1900 
2018-03-17 00:07:34.1521225454 , 179 , 28:56:5a:a0:34:95 , 48:45:20:44:0:9d , IPv4 , 10.50.23.186 , 239.255.255.250 , UDP , 59657 , 1900 
2018-03-17 00:07:35.1521225455 , 216 , ac:d1:b8:c1:39:a7 , 48:45:20:44:0:9d , IPv4 , 10.50.21.219 , 239.255.255.250 , UDP , 51348 , 1900 
2018-03-17 00:07:35.1521225455 , 175 , a4:5d:36:71:62:29 , 48:45:20:44:0:9d , IPv4 , 10.50.23.45 , 239.255.255.250 , UDP , 55526 , 1900 
2018-03-17 00:07:35.1521225455 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:35.1521225455 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:35.1521225455 , 82 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:35.1521225455 , 82 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:35.1521225455 , 216 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 239.255.255.250 , UDP , 50564 , 1900 
2018-03-17 00:07:35.1521225455 , 114 , 38:63:bb:9b:ad:9e , 48:45:20:44:0:9d , IPv4 , 10.50.21.142 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:36.1521225456 , 176 , 98:40:bb:35:f4:1e , 48:45:20:44:0:9d , IPv4 , 10.50.23.34 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:36.1521225456 , 176 , 98:40:bb:35:f4:1e , 48:45:20:44:0:9d , IPv4 , 10.50.23.34 , 10.50.23.255 , UDP , 17500 , 17500 
2018-03-17 00:07:36.1521225456 , 176 , 98:40:bb:35:f4:1e , 48:45:20:44:0:9d , IPv4 , 10.50.23.34 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:36.1521225456 , 176 , 98:40:bb:35:f4:1e , 48:45:20:44:0:9d , IPv4 , 10.50.23.34 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:36.1521225456 , 114 , 38:63:bb:9b:ad:9e , 48:45:20:44:0:9d , IPv4 , 10.50.21.142 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:36.1521225456 , 100 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.164.74 , TCP , 58918 , 443 
2018-03-17 00:07:36.1521225456 , 85 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.164.74 , TCP , 58918 , 443 
2018-03-17 00:07:36.1521225456 , 60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.164.74 , 10.50.23.79 , TCP , 443 , 58918 
2018-03-17 00:07:36.1521225456 , 60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.164.74 , 10.50.23.79 , TCP , 443 , 58918 
2018-03-17 00:07:36.1521225456 , 54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.164.74 , TCP , 58918 , 443 
2018-03-17 00:07:36.1521225456 , 114 , 38:63:bb:9b:ad:9e , 48:45:20:44:0:9d , IPv4 , 10.50.21.142 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:36.1521225456 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:36.1521225456 , 257 , 38:63:bb:9b:ad:9e , 48:45:20:44:0:9d , IPv4 , 10.50.21.142 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:36.1521225456 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:36.1521225456 , 82 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:36.1521225456 , 82 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:37.1521225457 , 179 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 239.255.255.250 , UDP , 61824 , 1900 
2018-03-17 00:07:37.1521225457 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:37.1521225457 , 170 , ac:ed:5c:4b:81:2e , 48:45:20:44:0:9d , IPv4 , 10.50.23.116 , 10.50.23.255 , UDP , 63151 , 50007 
2018-03-17 00:07:37.1521225457 , 74 , d0:df:9a:d8:a9:75 , 48:45:20:44:0:9d , IPv4 , 10.50.22.78 , 224.0.0.252 , UDP , 51807 , 5355 
2018-03-17 00:07:37.1521225457 , 257 , 38:63:bb:9b:ad:9e , 48:45:20:44:0:9d , IPv4 , 10.50.21.142 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:37.1521225457 , 179 , 28:56:5a:a0:34:95 , 48:45:20:44:0:9d , IPv4 , 10.50.23.186 , 239.255.255.250 , UDP , 59657 , 1900 
2018-03-17 00:07:37.1521225457 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:37.1521225457 , 74 , d0:df:9a:d8:a9:75 , 48:45:20:44:0:9d , IPv4 , 10.50.22.78 , 224.0.0.252 , UDP , 51807 , 5355 
2018-03-17 00:07:38.1521225458 , 316 , 30:8d:99:1a:e4:e6 , 48:45:20:44:0:9d , IPv4 , 10.50.21.28 , 239.255.255.250 , UDP , 64557 , 1900 
2018-03-17 00:07:38.1521225458 , 135 , c4:b:cb:66:b9:39 , 48:45:20:44:0:9d , IPv4 , 10.50.21.167 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:38.1521225458 , 175 , a4:5d:36:71:62:29 , 48:45:20:44:0:9d , IPv4 , 10.50.23.45 , 239.255.255.250 , UDP , 55526 , 1900 
2018-03-17 00:07:38.1521225458 , 305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:38.1521225458 , 82 , ac:2b:6e:d6:ca:ef , 48:45:20:44:0:9d , IPv4 , 10.50.21.61 , 224.0.0.253 , UDP , 64487 , 3544 
2018-03-17 00:07:38.1521225458 , 305 , ac:d1:b8:ed:88:6b , 48:45:20:44:0:9d , IPv4 , 10.50.21.158 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-17 00:07:38.1521225458 , 82 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:38.1521225458 , 82 , b0:35:9f:55:b8:e7 , 48:45:20:44:0:9d , IPv4 , 10.50.22.130 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:39.1521225459 , 135 , c4:b:cb:66:b9:39 , 48:45:20:44:0:9d , IPv4 , 10.50.21.167 , 224.0.0.251 , UDP , 5353 , 5353 
2018-03-17 00:07:39.1521225459 , 167 , c4:b:cb:66:b9:39 , 48:45:20:44:0:9d , IPv4 , 10.50.21.167 , 239.255.255.250 , UDP , 37304 , 1900 
2018-03-17 00:07:39.1521225459 , 176 , fc:3f:db:34:62:3f , 48:45:20:44:0:9d , IPv4 , 10.50.21.207 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:39.1521225459 , 176 , fc:3f:db:34:62:3f , 48:45:20:44:0:9d , IPv4 , 10.50.21.207 , 10.50.23.255 , UDP , 17500 , 17500 
2018-03-17 00:07:39.1521225459 , 176 , fc:3f:db:34:62:3f , 48:45:20:44:0:9d , IPv4 , 10.50.21.207 , 255.255.255.255 , UDP , 17500 , 17500 
2018-03-17 00:07:39.1521225459 , 176 , fc:3f:db:34:62:3f , 48:45:20:44:0:9d , IPv4 , 10.50.21.207 , 255.255.255.255 , UDP , 17500 , 17500 
