2018-03-30 23:50:18.1522434018 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:18.1522434018 , 94 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 87 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 94 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 87 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 92 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv4 , 10.50.23.135 , 10.50.23.255 , UDP , 137 , 137 
2018-03-30 23:50:18.1522434018 , 89 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 89 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 60 , ec:24:b8:29:29:25 , f8:da:c:20:91:3f , ARP , 41.37.10.50 , 23.52.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:50:18.1522434018 , 305 , ac:d1:b8:ed:88:6b , f8:da:c:20:91:3f , IPv4 , 10.50.23.72 , 10.50.23.255 , UDP , 54915 , 54915 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 167 , 14:32:d1:2f:31:55 , f8:da:c:20:91:3f , IPv4 , 10.50.21.101 , 239.255.255.250 , UDP , 47534 , 1900 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 60 , e0:94:67:75:34:6a , f8:da:c:20:91:3f , ARP , 52.106.10.50 , 21.11.0.0 , Unknown/Not Supported , 0 , 0 
2018-03-30 23:50:18.1522434018 , 84 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 167 , 14:32:d1:2f:31:55 , f8:da:c:20:91:3f , IPv4 , 10.50.21.101 , 239.255.255.250 , UDP , 47534 , 1900 
2018-03-30 23:50:18.1522434018 , 94 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 87 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 87 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 94 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 89 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 89 , 98:40:bb:6:49:37 , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 217.195.168.149 , Unknown/Not Supported , 17078 , 13411 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2008 , 2008 
2018-03-30 23:50:18.1522434018 , 62 , 64:5a:4:9d:49:52 , f8:da:c:20:91:3f , IPv4 , 10.50.21.15 , 10.50.23.255 , UDP , 2007 , 2007 
2018-03-30 23:50:18.1522434018 , 90 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:18.1522434018 , 60 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.22 , IGMP , 37892 , 0 
2018-03-30 23:50:18.1522434018 , 90 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv6 , 0.0.0.0 , 68.74.157.222 , Unknown/Not Supported , 44945 , 3842 
2018-03-30 23:50:18.1522434018 , 60 , ec:8e:b5:3c:91:9e , f8:da:c:20:91:3f , IPv4 , 10.50.23.86 , 224.0.0.22 , IGMP , 37892 , 0 
